Police Department,State,sort order,data entered?,agency_type,ori,civilian_complaints_reported,civilian_complaints_sustained,use_of_force_complaints_reported,use_of_force_complaints_sustained,discrimination_complaints_reported,discrimination_complaints_sustained,criminal_complaints_reported,criminal_complaints_sustained,complaints_in_detention_reported,complaints_in_detention_sustained,years_of_complaints_data,civilian_complaints_source,civilian_complaints_source_link,2019 data available?,civilian_complaints_reported_2013,civilian_complaints_sustained_2013,use_of_force_complaints_reported_2013,use_of_force_complaints_sustained_2013,discrimination_complaints_reported_2013,discrimination_complaints_sustained_2013,criminal_complaints_reported_2013,criminal_complaints_sustained_2013,complaints_in_detention_reported_2013,complaints_in_detention_sustained_2013,civilian_complaints_reported_2014,civilian_complaints_sustained_2014,use_of_force_complaints_reported_2014,use_of_force_complaints_sustained_2014,discrimination_complaints_reported_2014,discrimination_complaints_sustained_2014,criminal_complaints_reported_2014,criminal_complaints_sustained_2014,complaints_in_detention_reported_2014,complaints_in_detention_sustained_2014,civilian_complaints_reported_2015,civilian_complaints_sustained_2015,use_of_force_complaints_reported_2015,use_of_force_complaints_sustained_2015,discrimination_complaints_reported_2015,discrimination_complaints_sustained_2015,criminal_complaints_reported_2015,criminal_complaints_sustained_2015,complaints_in_detention_reported_2015,complaints_in_detention_sustained_2015,civilian_complaints_reported_2016,civilian_complaints_sustained_2016,use_of_force_complaints_reported_2016,use_of_force_complaints_sustained_2016,discrimination_complaints_reported_2016,discrimination_complaints_sustained_2016,criminal_complaints_reported_2016,criminal_complaints_sustained_2016,complaints_in_detention_reported_2016,complaints_in_detention_sustained_2016,civilian_complaints_reported_2017,civilian_complaints_sustained_2017,use_of_force_complaints_reported_2017,use_of_force_complaints_sustained_2017,discrimination_complaints_reported_2017,discrimination_complaints_sustained_2017,criminal_complaints_reported_2017,criminal_complaints_sustained_2017,complaints_in_detention_reported_2017,complaints_in_detention_sustained_2017,civilian_complaints_reported_2018,civilian_complaints_sustained_2018,use_of_force_complaints_reported_2018,use_of_force_complaints_sustained_2018,discrimination_complaints_reported_2018,discrimination_complaints_sustained_2018,criminal_complaints_reported_2018,criminal_complaints_sustained_2018,complaints_in_detention_reported_2018,complaints_in_detention_sustained_2018,civilian_complaints_reported_2019,civilian_complaints_sustained_2019,use_of_force_complaints_reported_2019,use_of_force_complaints_sustained_2019,discrimination_complaints_reported_2019,discrimination_complaints_sustained_2019,criminal_complaints_reported_2019,criminal_complaints_sustained_2019,complaints_in_detention_reported_2019,complaints_in_detention_sustained_2019,civilian_complaints_reported_2020,civilian_complaints_sustained_2020,use_of_force_complaints_reported_2020,use_of_force_complaints_sustained_2020,discrimination_complaints_reported_2020,discrimination_complaints_sustained_2020,criminal_complaints_reported_2020,criminal_complaints_sustained_2020,complaints_in_detention_reported_2020,complaints_in_detention_sustained_2020,civilian_complaints_reported_2021,civilian_complaints_sustained_2021,use_of_force_complaints_reported_2021,use_of_force_complaints_sustained_2021,discrimination_complaints_reported_2021,discrimination_complaints_sustained_2021,criminal_complaints_reported_2021,criminal_complaints_sustained_2021,complaints_in_detention_reported_2021,complaints_in_detention_sustained_2021,civilian_complaints_reported_2022,civilian_complaints_sustained_2022,use_of_force_complaints_reported_2022,use_of_force_complaints_sustained_2022,discrimination_complaints_reported_2022,discrimination_complaints_sustained_2022,criminal_complaints_reported_2022,criminal_complaints_sustained_2022,complaints_in_detention_reported_2022,complaints_in_detention_sustained_2022,Notes,Data input by,Complaints data fact-checked? (Put your Slack handle here if you've finished checking all the info for columns E-O). Change any cells that are incorrect and highlight the ones you've changed in yellow.,Response,FINAL CHECK,Matches aggregated?,2016-2019 Updated Data,2021 Request Fact-Checking (requests filed in 2021 for data from previous years),2021 Response 1,2021 Re-check,civilian_complaints_reported,civilian_complaints_sustained,use_of_force_complaints_reported,use_of_force_complaints_sustained,discrimination_complaints_reported,discrimination_complaints_sustained,criminal_complaints_reported,criminal_complaints_sustained,complaints_in_detention_reported,complaints_in_detention_sustained,years_of_complaints_data_original,population
Chesapeake,VA,88,Yes,police-department,VA1030000,282,77,9,0,10,0,5,3,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,24,7,0,2,0,3,1,,,12,,,,,,,,,,36,19,,,,,,,,,33,12,,,,,,,,,,,,,,,,,,,121,22,2,0,8,0,2,2,,,,,,,,,,,,,"alliemonck: no 2018 or 2019 data, sustained numbers are allegations",alliemonck,@MaryHammond,,Good - corrected total criminal complaints,Good - one year missing from other side,,,,,282,77,9,0,10,0,5,3,,,2016-21,247118
Port St. Lucie,FL,89,Yes,police-department,FL0560200,122,32,4,0,2,0,,,,,2016-19,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,2,2,0,1,0,,,,,35,9,,,,,,,,,28,9,,,,,,,,,30,12,,,,,,,,,,,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,alliemonck: no breakdown by type,alliemonck,"@yael, could not verify any numbers beyond E+F, Muckrock link ""page not found"" error","Updated, removed use of force complaints data",Good - corrected total number,Good,,,,,122,32,4,0,2,0,,,,,2016-21,206450
Palm Bay,FL,90,Yes,police-department,FL0051200,272,11,18,0,13,0,3,1,,,2013-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,31,1,2,0,1,0,0,0,,,18,0,1,0,3,0,0,0,,,8,0,0,0,0,0,0,0,,,59,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,1,3,0,4,0,0,0,,,52,4,6,0,3,0,1,1,,,63,2,6,0,2,0,2,0,,,,,,,,,,,,,alliemonck: INDIVIDUALIZED,alliemonck,@MaryHammond,,Good,,,,,,272,11,18,0,13,0,3,1,,,2016-21,116897
West Palm Beach,FL,91,Yes,police-department,FL0500800,281,33,,,,,,,,,2013-17,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,92,11,,,,,,,,,54,6,,,,,,,,,46,1,,,,,,,,,47,7,,,,,,,,,42,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"alliemonck: no 2018 or 2019 data, no breakdown by type",alliemonck,"@yael, some 2017 complaints unresolved","Checked, we're looking at the total number sustained and total number reported for each year, even if some haven't yet resulted in a disposition",Good,Good,maryhammond 2013-15,,,,281,33,,,,,,,,,2016-21,113268
Norwalk,CT,92,Yes,police-department,CT0010300,,,,,,,,,,,,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,5,,,,,,,,29,,3,,,,,,,,36,,3,,,,,,,,27,,3,,,,,,,,34,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"alliemonck: no 2019 data, no breakdown by type",alliemonck,@yael,Checked,Good,Good,,maryhammond,,,,,,,,,,,,,2016-21,89140
Fayetteville,NC,93,Yes,police-department,NC0260100,823,201,55,0,65,0,3,1,,,2013-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,142,17,2,0,9,0,,,,,62,39,7,0,5,0,,,,,56,16,1,0,9,0,2,1,,,38,5,2,0,5,0,1,0,,,42,7,6,0,6,0,,,,,90,21,12,0,5,0,,,,,176,40,6,0,8,0,,,,,154,34,11,0,11,0,,,,,63,22,8,0,7,0,0,0,,,,,,,,,,,,,alliemonck: no 2018 or 2019 data,alliemonck,"@yael, sustained number appears limited to 2017, but there was no reference for the number that included both years","Fixed, added the 5 sustained allegations from 2016.",Good - fixed total number of sustained,Good,,maryhammond - couldn't find the complaints sustained # for 2014 and link in scorecard didn't work,added link in to scorecard,,823,201,55,0,65,0,3,1,,,2016-21,212033
Santa Rosa,FL,94,Yes,sheriff,FL0570000,,,4,0,0,0,1,0,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alliemonck: no complaints data?,alliemonck,"@yael, could only verify 6 use of force complaints in 2018; couldn't find the other #s",,"data is for Santa rosa county sheriff in FL, individualized",,,,,,,,4,0,0,0,1,0,,,2016-21,169210
Winston-Salem,NC,95,Yes,police-department,NC0340200,69,14,33,1,,,14,0,,,2016-20,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,7,0,,,1,0,,,6,0,1,0,,,1,0,,,8,2,10,0,,,3,0,,,25,3,9,0,,,9,0,,,19,8,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"alliemonck: no 2019 data broken down, all numbers allegations",alliemonck,"@yael, not sure how to check this because I don't understand the distinction between complaints and allegations (once I figure that out I will double-check the dates, too) @MaryHammond - changed civilian complaints #","Let's do complaint totals where the data are available. In general, I've tried to use complaint totals instead of allegation totals where we have breakdowns by complaints (a complaint can include one or more allegations in it). Where only allegation totals are presented then we use those.",Good,No,,@MaryHammond,,,69,14,33,1,,,14,0,,,2016-21,250021
Elkhart,IN,96,Yes,police-department,IN0200100,,,,,,,,,,,,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,20,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alliemonck: no complaints data?,alliemonck,"@yael, the chart with sustained data on page 55 of https://elkhartpolice.org/wp-content/uploads/2019/12/Elkhart_PD_PERF_Report.pdf indicates 4 of 82 complaints were sustained; however, the number of civilian complaints was 78 @MaryHammond - rechecked. I got 11 of 82 complaints referred to IA were sustained; however, 78 was number of complaints on pp. 47-48.",I'm seeing 11 complaints sustained in the chart on page 55 (the light blue area of the chart). Can you double check to make sure?,Good - changed total # to reflect the total on pg. 55,,,,,,,,,,,,,,,,2016-21,52416
Boston,MA,97,Yes,police-department,MA0130100,1599,218,190,12,45,3,71,21,,,2013-19,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,350,44,44,1,3,0,12,5,,,266,26,26,4,2,0,20,4,,,233,35,23,0,10,0,14,4,,,197,31,26,2,6,0,8,4,,,204,29,25,0,10,1,7,3,,,196,42,22,2,9,2,6,0,,,153,11,24,3,5,0,4,1,,,,,,,,,,,,,,,,,,,,,,,127,3,14,0,2,0,4,1,,,alliemonck: only have a few 2016 allegations #s,alliemonck,@yael,Checked,Good,Good,,,,,1599,218,190,12,45,3,71,21,,,2016-21,697323
Rock Hill,SC,98,Yes,police-department,SC0460300,72,15,18,0,,,,,,,2016-18,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,2,7,0,,,,,,,19,3,2,0,,,,,,,27,10,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,,,,alliemonck: no 2019 data,alliemonck,@yael,Checked,Good,No,@MaryHammond,,,,72,15,18,0,,,,,,,2016-21,76016
Volusia,FL,99,Yes,sheriff,FL0640000,108,40,,,,,,,,,2016-20,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,2,,,,,,,,,22,1,,,,,,,,,29,3,,,,,,,,,37,4,,,,,,,,,30,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,alliemonck: no breakdown by type,alliemonck,"@yael, could not verify # of complaints due to use of force",Removed use of force complaints data,Good,Good,,,,,108,10,,,,,,,,,2016-21,241008
Raleigh,NC,100,Yes,police-department,NC0920100,152,70,43,1,7,0,2,0,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,8,9,0,0,0,,,,,30,8,9,0,0,0,,,,,26,12,20,1,0,,,,,,29,15,4,0,3,0,,,,,32,19,1,0,4,0,2,0,,,11,8,,,,,,,,,,,,,,,,,,,"alliemonck: no breakdown by type, no 2019 data",alliemonck,@yael,Checked,Good,Good,,@MaryHammond,,,152,70,43,1,7,0,2,0,,,2016-21,480964
St. Paul,MN,101,Yes,police-department,MN0620900,987,557,19,2,4,0,17,6,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,83,6,1,0,0,1,1,,,116,67,3,0,1,0,2,2,,,167,81,4,0,2,0,5,0,,,202,102,2,0,0,0,3,1,,,163,100,1,0,1,0,4,2,,,202,124,3,1,0,0,2,0,,,,,,,,,,,,,alliemonck: data unclear if it's complaint total or just complaints that were investigated,alliemonck,"@yael, E is complicated because there were 27 citizen-generated investigations but 76 ""findings"" due to multiple allegations and officers.","For this one, since we don't have data on complaint totals by type of complaint, let's use the total number of allegations and then the proportion of allegations that were sustained.",Good,,,,,,987,557,19,2,4,0,17,6,,,2016-21,309859
Alexandria,VA,102,Yes,police-department,VA0990000,133,43,,,,,,,,,2015-20,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,31,18,,,,,,,,,18,6,,,,,,,,,10,5,,,,,,,,,35,1,,,,,,,,,19,5,,,,,,,,,20,8,,,,,,,,,,,,,,,,,,,18,10,,,,,,,,,"alliemonck: sustained numbers are allegations, no breakdown by type, no 2018 or 2019 data",alliemonck;samswey,"@yael, could not verify info on use of force complaint #",Removed use of force complaints data,Good,Good,,,,,133,43,,,,,,,,,2016-21,161525
South Bend,IN,103,Yes,police-department,IN0710200,147,31,24,0,,,,,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,14,4,0,,,,,,,10,2,1,0,,,,,,,13,5,2,0,,,,,,,9,3,1,0,,,,,,,48,5,6,0,,,,,,,37,2,10,0,,,,,,,,,,,,,,,,,alliemonck: no clear total number of complaints per year,alliemonck,"@yael, could not verify use of force info complaint #, couldn't figure out how to read the portal data either. Looks like some but not all data is through 2020?",,Good,,,,,,147,31,24,0,,,,,,,2016-21,102119
Ocala,FL,104,No,police-department,FL0420100,,,,,,,,,,,,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alliemonck: INDIVIDUALIZED,alliemonck,@MaryHammond - could not verify data. Docs in link are copies of individual complaints; cover letter references annual reports and other data on DVD mailed out.,,Individualized,,,,,,,,,,,,,,,,2016-21,61275
Cape Coral,FL,105,Yes,police-department,FL0360200,89,34,2,0,0,0,2,1,,,2014-20,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,17,9,1,0,,,2,1,,,11,4,0,0,,,0,0,,,28,5,0,0,0,0,0,0,,,8,2,0,0,0,0,0,0,,,11,5,1,0,0,0,0,0,,,10,5,0,0,,,0,0,,,4,4,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,alliemonck: no 2019 data,alliemonck,@yael,Checked,Good,Good,,maryhammond,,,89,34,2,0,0,0,2,1,,,2016-21,199503
Corpus Christi,TX,106,Yes,police-department,TX1780200,160,47,55,3,3,0,8,1,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,6,15,0,,,3,0,,,32,13,12,2,1,0,1,0,,,30,6,11,0,1,0,3,1,,,22,10,8,0,1,0,1,0,,,16,7,4,0,0,0,0,0,,,14,5,5,1,0,0,0,0,,,16,10,4,0,0,0,1,0,,,"alliemonck: only have 2016 allegations, no breakdown by type",alliemonck,"@yael, numbers here do not match what's in the google doc",,Good,Good,,,,,160,47,55,3,3,0,8,1,,,2016-21,329050
Portland,ME,107,Yes,police-department,ME0030500,114,25,9,0,3,0,4,0,,,2016-20,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,3,10,,3,,3,,,,22,10,5,,0,0,0,0,,,45,10,8,0,2,0,4,0,,,7,2,1,0,1,0,0,0,,,3,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,samswey,@yael. sustained complaints are only for 2018,,Good,,,,,,114,25,9,0,3,0,4,0,,,2016-16,66229
Stamford,CT,108,Yes,police-department,CT0013500,71,20,2,0,1,0,0,0,,,2018-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,19,2,0,1,0,0,0,,,,,,,,,,,,,alliemonck: INDIVIDUALIZED,alliemonck,@MaryHammond - I came up with large difference in civilian complaints (10) and civilian complaints sustained (1); only had 2018 info. Could not verify use of force data; info totalled by allegations.,,Good,,,,,,71,20,2,0,1,0,0,0,,,2016-21,130425
Pembroke Pines,FL,109,Yes,police-department,FL0060800,39,23,,,,,,,,,2016-16,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alliemonck: INDIVIDUALIZED,alliemonck,@MaryHammond - I came up with difference in civilian complaints/sustained (23/7). Could not verify use of force data.,,Good,,,,,,39,23,,,,,,,,,2016-21,175757
Madison,WI,110,Yes,police-department,WI0130100,51,26,,,,,,,,,2017-19,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,12,,,,,,,,,11,7,,,,,,,,,16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"alliemonck: no 2016 or 2019 data, no breakdown by type",alliemonck,"@yael, could not tell from data which complaints were use of force complaints",,Good - removed UOF data that couldn't be verified,Good,,,,,51,26,,,,,,,,,2016-21,262736
Miramar,FL,111,Yes,police-department,FL0062200,,,,,,,,,,,,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"alliemonck: no 2017 data, no breakdown by type or number sustained",alliemonck,"@yael, could not verify 2016 data due to a broken URL",,Good - removed # sustained and UOF couldn't be verified,Good,,,,,,,,,,,,,,,2016-21,143470
Sanford,FL,112,Yes,police-department,FL0590500,32,7,0,0,5,2,0,0,,,2016-18,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,0,0,2,1,0,0,,,9,3,0,0,1,1,0,0,,,14,1,0,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"alliemonck: one 2018 biased policing complaint pending, no 2019 data",alliemonck,"@yael, some cases pending",,Good,Good,,,,,32,7,0,0,5,2,0,0,,,2016-21,62342
Edison Township,NJ,113,Yes,police-department,NJ0120500,159,31,19,0,6,0,31,8,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,0,,,,,,,,,14,0,,,,,,,,,35,14,0,0,3,0,18,4,,,24,9,3,0,0,0,7,3,,,28,4,11,0,0,0,5,1,,,32,4,5,0,3,0,1,0,,,,,,,,,,,,,"alliemonck: no 2018 or 2019 data, no breakdown by type",alliemonck,@MaryHammond,,Good,Good,,maryhammond,,,159,31,19,0,6,0,31,8,,,2016-21,99584
Chandler,AZ,114,Yes,police-department,AZ0070500,37,25,4,2,7,0,0,0,,,2016-20,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,7,2,1,,,,,,,9,5,0,0,4,0,,,,,9,7,0,0,1,0,,,,,5,4,1,0,1,0,,,,,3,2,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,alliemonck: biased policing complaints not recorded in 2016,alliemonck,@yael. biased policing only from 2017-2019,,Good - corrected total #,Good,,@MaryHammond,,,37,25,4,2,7,0,0,0,,,2016-21,264071
Calvert,MD,115,Yes,sheriff,MD0050000,60,2,8,0,3,0,1,0,,,2018-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,1,7,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,31,1,1,0,2,0,1,0,,,,,,,,,,,,,"alliemonck: no 2016, 2017, or 2019 data",alliemonck,@yael,,Good,Good,,,,,60,2,8,0,3,0,1,0,,,2016-21,92622
Garland,TX,116,Yes,police-department,TX0571100,75,25,26,6,1,0,,,,,2013-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,yes,2,2,3,0,0,0,,,,,5,4,2,0,0,0,,,,,10,5,3,0,1,0,,,,,8,1,6,2,0,0,,,,,7,1,4,2,0,0,,,,,9,4,4,1,0,0,,,,,18,7,4,1,0,0,,,,,7,0,,,,,,,,,9,1,,,,,,,,,9,3,2,0,0,0,0,0,,,alliemonck: no criminal complaints data,alliemonck,@MaryHammond - note first link doesn't work,,Good - added 2019 data,Good,maryhammond 2013-15,maryhammond,,,75,25,26,6,1,0,,,,,2016-21,241455
St. Petersburg,FL,117,Yes,police-department,FL0521400,17,7,5,0,,,1,0,,,2020-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,8,,,,2,,,,11,,2,,,,1,,,,7,,3,,,,0,,,,4,,1,,,,1,,,,10,3,5,0,,,1,0,,,7,4,0,0,,,0,0,,,10,7,1,0,22,0,,,,,"alliemonck: allegations numbers, no sustained allegations number for citizen initiated cases",alliemonck; 2021 samswey,"@yael, could not verify # sustained",,Good - removed 0s from # sustained as it isn't clearly broken down,Good,,@MaryHammond,,,17,7,5,0,,,1,0,,,2016-21,267690
Plantation,FL,118,Yes,police-department,FL0060600,6,1,2,0,,,,,,,2021,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,2,0,,,,,,,,,,,,,,,,,alliemonck: INDIVIDUALIZED,alliemonck,@MaryHammond - could not verify civilian complaints sustained data and use of force data (info in doc is by allegation),,Individualized,,,,,,6,1,2,0,,,,,,,2017-21,95669
Cary,NC,119,Yes,police-department,NC0920300,225,53,12,0,25,0,13,0,,,2013-20,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,no,41,11,2,0,1,0,,,,,41,6,1,0,8,0,,,,,22,4,1,0,2,0,2,0,,,22,6,2,0,0,0,1,0,,,31,8,3,0,2,0,6,0,,,17,5,1,0,0,0,2,0,,,31,4,1,0,6,0,1,0,,,20,9,1,0,6,0,1,0,,,,,,,,,,,,,,,,,,,,,,,"alliemonck: no 2017-2019 data, 6 sustained allegations",alliemonck,"@yael, ""supervisory investigation"" means citizen complaints?",,Good,Good,,maryhammond,,,225,53,12,0,25,0,13,0,,,2016-21,172079
Auburn,WA,120,Yes,police-department,WA0170100,38,16,25,1,,,,,,,2013-20,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,5,1,3,1,,,,,,,5,3,0,0,,,,,,,6,6,0,0,,,,,,,3,0,3,0,,,,,,,8,1,7,0,,,,,,,1,1,2,0,,,,,,,6,2,3,0,,,,,,,4,2,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,alliemonck: no data?,alliemonck,@yael. could not find Auburn in doc,,need to delete,,,,,,38,16,25,1,,,,,,,2016-21,72871
