"Police Department","State","Concatenated","ORI","2020 Population of Jurisdiciton"
"SOMERSET I.S.D. POLICE DEPARTMENT.","TX","SOMERSET I.S.D. POLICE DEPARTMENT.TX","TX0154900",0
"SOMERSET ISD POLICE DEPARTMENT","TX","SOMERSET ISD POLICE DEPARTMENTTX","TX0155400",0
"COUNTY MUNICIPAL UTILITY DIST NO 1 POLICE DEPARTMENT IRVING","TX","COUNTY MUNICIPAL UTILITY DIST NO 1 POLICE DEPARTMENT IRVINGTX","TX0574800",0
"NORTH TEXAS HIGH INTESITY DRUG TRAFFICKING AREA","TX","NORTH TEXAS HIGH INTESITY DRUG TRAFFICKING AREATX","TX0576300",0
"PALACIOS I.S.D. POLICE DEPARTMENT.","TX","PALACIOS I.S.D. POLICE DEPARTMENT.TX","TX1611000",0
"PORT ARTHUR INDEPENDENT SCHOOL DIST POLICE DEPARTMENT","TX","PORT ARTHUR INDEPENDENT SCHOOL DIST POLICE DEPARTMENTTX","TX1232300",0
"SOUTHWEST TEXAS JUNIOR COLLEGE POLICE","TX","SOUTHWEST TEXAS JUNIOR COLLEGE POLICETX","TX2320400",0
"EL PASO FIRE DEPARTMENT FIRE MARSHAL DIV EL PASO","TX","EL PASO FIRE DEPARTMENT FIRE MARSHAL DIV EL PASOTX","TX0711500",0
"TEXAS ALCOHOLIC BEVERAGE COMMISS","TX","TEXAS ALCOHOLIC BEVERAGE COMMISSTX","TX0712400",0
"YSLETA I.S.D. POLICE DEPARTMENT.","TX","YSLETA I.S.D. POLICE DEPARTMENT.TX","-1",0
"SAN FELIPE-DEL RIO I.S.D. POLICE DEPARTMENT.","TX","SAN FELIPE-DEL RIO I.S.D. POLICE DEPARTMENT.TX","TX2330400",0
"GALENA PARK ISD POLICE DEPARTMENT","TX","GALENA PARK ISD POLICE DEPARTMENTTX","TX1018500",0
"MCALLEN I.S.D. POLICE DEPARTMENT.","TX","MCALLEN I.S.D. POLICE DEPARTMENT.TX","TX1082600",0
"CEDAR VALLEY COLLEGE POLICE DEPARTMENT.","TX","CEDAR VALLEY COLLEGE POLICE DEPARTMENT.TX","TX0573600",0
"LANCASTER I.S.D. POLICE DEPARTMENT.","TX","LANCASTER I.S.D. POLICE DEPARTMENT.TX","TX0575700",0
"CARRIZO SPRINGS C.I.S.D. POLICE DEPARTMENT","TX","CARRIZO SPRINGS C.I.S.D. POLICE DEPARTMENTTX","TX0640200",0
"RIO HONDO I.S.D. POLICE DEPARTMENT.","TX","RIO HONDO I.S.D. POLICE DEPARTMENT.TX","TX0312600",0
"CITY OF MISSION FIRE MARSHALL","TX","CITY OF MISSION FIRE MARSHALLTX","TX1083300",0
"LOS FRESNOS I.S.D. POLICE DEPARTMENT.","TX","LOS FRESNOS I.S.D. POLICE DEPARTMENT.TX","TX0313000",0
"SAN BENITO I.S.D. POLICE DEPARTMENT.","TX","SAN BENITO I.S.D. POLICE DEPARTMENT.TX","TX0312700",0
"DONNA I.S.D. POLICE DEPARTMENT.","TX","DONNA I.S.D. POLICE DEPARTMENT.TX","TX1082800",0
"PHARR SAN JUAN ALAMO ISD POLICE DEPARTMENT","TX","PHARR SAN JUAN ALAMO ISD POLICE DEPARTMENTTX","TX1083400",0
"WEBB CONS INDEP SCHOOL DIST POLICE DEPARTMENT","TX","WEBB CONS INDEP SCHOOL DIST POLICE DEPARTMENTTX","TX2400900",0
"EAGLE PASS FIRE MARSHALS OFFICE","TX","EAGLE PASS FIRE MARSHALS OFFICETX","TX1620900",0
"EAGLE PASS I.S.D. POLICE DEPARTMENT.","TX","EAGLE PASS I.S.D. POLICE DEPARTMENT.TX","TX1620700",0
"LA JOYA I.S.D. POLICE DEPARTMENT.","TX","LA JOYA I.S.D. POLICE DEPARTMENT.TX","TX1083100",0
"ROMA I.S.D. POLICE DEPARTMENT.","TX","ROMA I.S.D. POLICE DEPARTMENT.TX","TX2141100",0
"CRYSTAL CITY ISD POLICE DEPARTMENT","TX","CRYSTAL CITY ISD POLICE DEPARTMENTTX","TX2540300",0
"SANTA MARIA I.S.D. POLICE DEPARTMENT","TX","SANTA MARIA I.S.D. POLICE DEPARTMENTTX","-1",0
"NORTH FOREST I.S.D. POLICE DEPARTMENT.","TX","NORTH FOREST I.S.D. POLICE DEPARTMENT.TX","TX1014400",0
"TARRANT COUNTY COLLEGE DISTRICT POLICE DEPARTMENT.","TX","TARRANT COUNTY COLLEGE DISTRICT POLICE DEPARTMENT.TX","TX2203900",0
"TARRANT COUNTY FIRE MARSHAL","TX","TARRANT COUNTY FIRE MARSHALTX","TX2205800",0
"TARRANT COUNTY NARCOTICS AND COORDINATION UNIT","TX","TARRANT COUNTY NARCOTICS AND COORDINATION UNITTX","TX2205400",0
"TARRANT REGIONAL WATER DISTRICT","TX","TARRANT REGIONAL WATER DISTRICTTX","TX2205200",0
"WHITE SETTLEMENT I.S.D. POLICE DEPARTMENT","TX","WHITE SETTLEMENT I.S.D. POLICE DEPARTMENTTX","TX2205300",0
"SAN ANTONIO AIRPORT POLICE","TX","SAN ANTONIO AIRPORT POLICETX","TX0153700",0
"AUSTIN AIRPORT POLICE","TX","AUSTIN AIRPORT POLICETX","-1",0
"NEW CANEY I.S.D. POLICE DEPARTMENT.","TX","NEW CANEY I.S.D. POLICE DEPARTMENT.TX","TX1703000",0
"HARLINGEN INTERNATIONAL AIRPORT POLICE","TX","HARLINGEN INTERNATIONAL AIRPORT POLICETX","-1",0
"VALLEY INTERNATIONAL AIRPORT POLICE DEPARTMENT.","TX","VALLEY INTERNATIONAL AIRPORT POLICE DEPARTMENT.TX","TX0312300",0
"CORPUS CHRISTI INTERNATIONAL AIRPORT POLICE","TX","CORPUS CHRISTI INTERNATIONAL AIRPORT POLICETX","-1",0
"PORT OF CORPUS CHRISTI POLICE DEPARTMENT","TX","PORT OF CORPUS CHRISTI POLICE DEPARTMENTTX","TX1781800",0
"PORT OF GALVESTON AUTHORITY POLICE","TX","PORT OF GALVESTON AUTHORITY POLICETX","TX0842400",0
"FRENSHIP I.S.D. POLICE DEPARTMENT.","TX","FRENSHIP I.S.D. POLICE DEPARTMENT.TX","TX1520700",0
"LUBBOCK INTERNATIONAL AIRPORT POLICE DEPARTMENT.","TX","LUBBOCK INTERNATIONAL AIRPORT POLICE DEPARTMENT.TX","TX1521700",0
"LUBBOCK-COOPER I.S.D. POLICE DEPARTMENT.","TX","LUBBOCK-COOPER I.S.D. POLICE DEPARTMENT.TX","TX1521800",0
"ROOSEVELT I.S.D. POLICE DEPARTMENT.","TX","ROOSEVELT I.S.D. POLICE DEPARTMENT.TX","-1",0
"LAREDO INTERNATIONAL AIRPORT POLICE DEPARTMENT.","TX","LAREDO INTERNATIONAL AIRPORT POLICE DEPARTMENT.TX","TX2400800",0
"PORT OF BEAUMONT AUTHORITY POLICE","TX","PORT OF BEAUMONT AUTHORITY POLICETX","TX1231600",0
"CHINA SPRING I.S.D. POLICE DEPARTMENT.","TX","CHINA SPRING I.S.D. POLICE DEPARTMENT.TX","TX1553000",0
"CONNALLY I.S.D. POLICE DEPARTMENT.","TX","CONNALLY I.S.D. POLICE DEPARTMENT.TX","TX1553100",0
"SCHERTZ/CIBOLO/UNVICITY I.S.D. POLICE DEPARTMENT.","TX","SCHERTZ/CIBOLO/UNVICITY I.S.D. POLICE DEPARTMENT.TX","TX0154000",0
"COMAL COUNTY FIRE MARSHALS OFFICE","TX","COMAL COUNTY FIRE MARSHALS OFFICETX","TX0461000",0
"PARKER COUNTY FIRE MARSHAL'S OFFICE","TX","PARKER COUNTY FIRE MARSHAL'S OFFICETX","TX1840900",0
"EAST TEXAS REGIONAL AIRPORT POLICE","TX","EAST TEXAS REGIONAL AIRPORT POLICETX","TX0921300",0
"HIGHLAND PARK I.S.D. POLICE DEPARTMENT.","TX","HIGHLAND PARK I.S.D. POLICE DEPARTMENT.TX","TX1880300",0
"SAN ANGELO REGIONAL AIRPORT POLICE DEPARTMENT.","TX","SAN ANGELO REGIONAL AIRPORT POLICE DEPARTMENT.TX","-1",0
"HUNT COUNTY FIRE MARSHAL","TX","HUNT COUNTY FIRE MARSHALTX","TX1161800",0
"CENTRAL I.S.D. POLICE DEPARTMENT","TX","CENTRAL I.S.D. POLICE DEPARTMENTTX","TX0031400",0
"FIRE MARSHALS OFFICE ORANGE CO EMERG SERV","TX","FIRE MARSHALS OFFICE ORANGE CO EMERG SERVTX","TX1811300",0
"WODEN ISD POLICE DEPARTMENT","TX","WODEN ISD POLICE DEPARTMENTTX","TX1741000",0
"HOOD COUNTY FIRE MARSHALL","TX","HOOD COUNTY FIRE MARSHALLTX","TX1110400",0
"ROYAL I.S.D. POLICE DEPARTMENT.","TX","ROYAL I.S.D. POLICE DEPARTMENT.TX","TX2371200",0
"ERATH CO FIRE MARSHALS OFFICE","TX","ERATH CO FIRE MARSHALS OFFICETX","TX0720600",0
"BROWN CO. WATER DISTRICT","TX","BROWN CO. WATER DISTRICTTX","-1",0
"TIDEHAVEN I.S.D. POLICE DEPARTMENT.","TX","TIDEHAVEN I.S.D. POLICE DEPARTMENT.TX","-1",0
"HILL JUNIOR COLLEGE POLICE DEPARTMENT HILLSBORO","TX","HILL JUNIOR COLLEGE POLICE DEPARTMENT HILLSBOROTX","TX1090800",0
"TITUS COUNTY FRESH WATER SUPPLY POLICE DEPARTMENT.","TX","TITUS COUNTY FRESH WATER SUPPLY POLICE DEPARTMENT.TX","-1",0
"MCLEOD I.S.D. POLICE DEPARTMENT","TX","MCLEOD I.S.D. POLICE DEPARTMENTTX","-1",0
"PALO PINTO CO FIRE MARSHAL","TX","PALO PINTO CO FIRE MARSHALTX","TX1821100",0
"COLDSPRING-OAKHURST C.I.S.D. POLICE DEPARTMENT.","TX","COLDSPRING-OAKHURST C.I.S.D. POLICE DEPARTMENT.TX","TX2040500",0
"SHELBYVILLE I.S.D. POLICE DEPARTMENT.","TX","SHELBYVILLE I.S.D. POLICE DEPARTMENT.TX","TX2101100",0
"ARANSAS COUNTY I.S.D. POLICE DEPARTMENT.","TX","ARANSAS COUNTY I.S.D. POLICE DEPARTMENT.TX","TX0040900",0
"HOUSTON COUNTY FIRE MARSHALS OFFICE","TX","HOUSTON COUNTY FIRE MARSHALS OFFICETX","TX1130700",0
"BANDERA COUNTY FIRE MARSHALS OFFICE","TX","BANDERA COUNTY FIRE MARSHALS OFFICETX","TX0100600",0
"ZAPATA CO FIRE MARSHAL ARSON INVESTIGATION","TX","ZAPATA CO FIRE MARSHAL ARSON INVESTIGATIONTX","TX2530600",0
"MONAHANS-WICKETT-PYOTE I.S.D. POLICE DEPARTMENT.","TX","MONAHANS-WICKETT-PYOTE I.S.D. POLICE DEPARTMENT.TX","TX2380700",0
"RAINS I.S.D. POLICE DEPARTMENT.","TX","RAINS I.S.D. POLICE DEPARTMENT.TX","TX1900700",0
"FRANKLIN COUNTY WATER DISTRICT","TX","FRANKLIN COUNTY WATER DISTRICTTX","-1",0
"PRESIDIO I.S.D. POLICE DEPARTMENT.","TX","PRESIDIO I.S.D. POLICE DEPARTMENT.TX","TX1890700",0
"JIM HOGG COUNTY I.S.D. POLICE DEPARTMENT.","TX","JIM HOGG COUNTY I.S.D. POLICE DEPARTMENT.TX","TX1240700",0
"SALT LAKE AREA GANG PROJECT SALT LAKE CITY","UT","SALT LAKE AREA GANG PROJECT SALT LAKE CITYUT","UT0183400",0
"SOUTH JORDAN FIRE DEPART ARSON INVEST","UT","SOUTH JORDAN FIRE DEPART ARSON INVESTUT","UT0183600",0
"INTERMOUNTAIN INDIAN  SCHOOL POLICE DEPARTMENT BRIGHAM CITY","UT","INTERMOUNTAIN INDIAN  SCHOOL POLICE DEPARTMENT BRIGHAM CITYUT","UTDI01900",0
"UT ST PRISON DRAPER","UT","UT ST PRISON DRAPERUT","UT0180800",0
"JORDAN SCHOOL DISTRICT SECURITY POLICE DEPARTMENT SANDY","UT","JORDAN SCHOOL DISTRICT SECURITY POLICE DEPARTMENT SANDYUT","UT0182700",0
"JOINT CRIMINAL APPREHENSION TEAM","UT","JOINT CRIMINAL APPREHENSION TEAMUT","UT0252400",0
"UTAH STATE FIRE MARSHAL - ARSON INVESTIGATION DIVI","UT","UTAH STATE FIRE MARSHAL - ARSON INVESTIGATION DIVIUT","UT0183500",0
"S ODGEN FIRE DEPARTMENT ARSON INVESTIGATIONS UNIT","UT","S ODGEN FIRE DEPARTMENT ARSON INVESTIGATIONS UNITUT","UT0291500",0
"DIXIE STATE COLLEGE CAMPUS POLICE DEPARTMENT","UT","DIXIE STATE COLLEGE CAMPUS POLICE DEPARTMENTUT","UT0271300",0
"UTAH STATE HOSPITAL POLICE","UT","UTAH STATE HOSPITAL POLICEUT","-1",0
"UTAH BUREAU OF CRIMINAL INVESTIGATIONS","UT","UTAH BUREAU OF CRIMINAL INVESTIGATIONSUT","UTBCI0300",0
"ATTORNEY GENERALS OFF SALT LAKE CITY","UT","ATTORNEY GENERALS OFF SALT LAKE CITYUT","UTLED0000",0
"BUR OF INVESTIGATION SALT LAKE CITY FIRE/EMERG","UT","BUR OF INVESTIGATION SALT LAKE CITY FIRE/EMERGUT","UT0183300",0
"DIV LIQUOR & NARC ENF SALT LAKE CITY","UT","DIV LIQUOR & NARC ENF SALT LAKE CITYUT","UT0182600",0
"DPS BUREAU OF MEDICAID FRAUD SALT LAKE CITY","UT","DPS BUREAU OF MEDICAID FRAUD SALT LAKE CITYUT","UTDPS0200",0
"DPS INVESTIGATIONS MURRAY","UT","DPS INVESTIGATIONS MURRAYUT","UTDPS0100",0
"SALT LAKE CITY DEPART OF AIRPORTS INVESTIGATION","UT","SALT LAKE CITY DEPART OF AIRPORTS INVESTIGATIONUT","UT0183200",0
"SALT LAKE CITY FIRE INVESTIGATORS","UT","SALT LAKE CITY FIRE INVESTIGATORSUT","UT0183700",0
"UT ADULT PROB PAROLE SLC","UT","UT ADULT PROB PAROLE SLCUT","UT0180900",0
"UT BUREAU OF CRIMINAL IDENTIFICATION","UT","UT BUREAU OF CRIMINAL IDENTIFICATIONUT","UTBCI0100",0
"UT BUREAU OF CRIMINAL IDENTIFICATION","UT","UT BUREAU OF CRIMINAL IDENTIFICATIONUT","UTBCI0200",0
"UT DIV OF FOREST FIRE STATE LANDS PEACE OFFICER","UT","UT DIV OF FOREST FIRE STATE LANDS PEACE OFFICERUT","UT0184300",0
"UT TAX COMM MVD VEH INV SEC SALT LAKE CITY","UT","UT TAX COMM MVD VEH INV SEC SALT LAKE CITYUT","UTUTCVI00",0
"UTAH AIR NATIONAL GUARD SECURITY","UT","UTAH AIR NATIONAL GUARD SECURITYUT","UT0184100",0
"UTAH BUREAU OF CRIMINAL INVESTIGATIONS","UT","UTAH BUREAU OF CRIMINAL INVESTIGATIONSUT","UTBCI0400",0
"WEST VALLEY CITY FIRE MARSHAL'S OFC ARSON INV","UT","WEST VALLEY CITY FIRE MARSHAL'S OFC ARSON INVUT","UT0184400",0
"SALT LAKE AIRPORT POLICE DEPARTMENT","UT","SALT LAKE AIRPORT POLICE DEPARTMENTUT","-1",0
"FIRE INVESTIGATIVE UNIT VIRGINIA BEACH","VA","FIRE INVESTIGATIVE UNIT VIRGINIA BEACHVA","VA1280200",0
"FIRE MARSHAL'S OFFICE OFFICEOF FIRE INV NORFOLK","VA","FIRE MARSHAL'S OFFICE OFFICEOF FIRE INV NORFOLKVA","VA1170500",0
"CHESAPEAKE FIRE MARSHAL","VA","CHESAPEAKE FIRE MARSHALVA","VA1030200",0
"FIRE INVESTIGATIVE SECT CO FIRE DEPARTMENT RICHMOND","VA","FIRE INVESTIGATIVE SECT CO FIRE DEPARTMENT RICHMONDVA","VA0430600",0
"RICHMOND CITY FIRE MARHSAL'S OFFICE","VA","RICHMOND CITY FIRE MARHSAL'S OFFICEVA","VA1221200",0
"RICHMOND HOUSING AUTHORITY POLICE","VA","RICHMOND HOUSING AUTHORITY POLICEVA","VA1221400",0
"ARLINGTON COUNTY FIRE DEPARTMENT FIRE MARSHALS OFF","VA","ARLINGTON COUNTY FIRE DEPARTMENT FIRE MARSHALS OFFVA","VA0070200",0
"ROCKINGHAM FIRE MARSHALL","VA","ROCKINGHAM FIRE MARSHALLVA","VA0820800",0
"CHESTERFIELD COUNTY FIRE MARSHAL'S OFFICE","VA","CHESTERFIELD COUNTY FIRE MARSHAL'S OFFICEVA","VA0210200",0
"CITY FIRE MARSHAL ARSON INVESTIGATIONS HAMPTON","VA","CITY FIRE MARSHAL ARSON INVESTIGATIONS HAMPTONVA","VA1110600",0
"FAUQUIER COUNTY FIRE MARSHALS OFFICE","VA","FAUQUIER COUNTY FIRE MARSHALS OFFICEVA","VA0300400",0
"CHARLOTTESVILLE-ALBEMARLE AIRPORT POLICE DEPARTMENT.","VA","CHARLOTTESVILLE-ALBEMARLE AIRPORT POLICE DEPARTMENT.VA","VA0020600",0
"SOUTHWEST VIRGINIA COMMUNITY COLLEGE POLICE DEPARTMENT","VA","SOUTHWEST VIRGINIA COMMUNITY COLLEGE POLICE DEPARTMENTVA","-1",0
"VIRGINIA HIGHLANDS COMMUNITY COLLEGE POLICE DEPARTMENT.","VA","VIRGINIA HIGHLANDS COMMUNITY COLLEGE POLICE DEPARTMENT.VA","VA0940500",0
"LORD FAIRFAX COMM COLLEGE POLICE DEPARTMENT","VA","LORD FAIRFAX COMM COLLEGE POLICE DEPARTMENTVA","VA0690400",0
"DMV DISTRICT LAW ENFORCEMENT OFF BRISTOL","VA","DMV DISTRICT LAW ENFORCEMENT OFF BRISTOLVA","VADMVBR00",0
"SOUTHWEST VIRGINIA MENTAL HEALTH INSTITUTE","VA","SOUTHWEST VIRGINIA MENTAL HEALTH INSTITUTEVA","VA0860400",0
"WOODROW WILSON REHABILITATION CENTER POLICE DEPARTMENT.","VA","WOODROW WILSON REHABILITATION CENTER POLICE DEPARTMENT.VA","VA0080200",0
"WESTERN STATE HOSPITAL-SECURITY","VA","WESTERN STATE HOSPITAL-SECURITYVA","VA1260200",0
"DMV DISTRICT LAW ENFORCEMENT OFF STAUNTON","VA","DMV DISTRICT LAW ENFORCEMENT OFF STAUNTONVA","VADMVWY00",0
"LORD FAIRFAX COMM COLLEGE POLICE DEPARTMENT","VA","LORD FAIRFAX COMM COLLEGE POLICE DEPARTMENTVA","VA0300500",0
"COLONIAL HEIGHTS FIRE MARSHALS OFFICE","VA","COLONIAL HEIGHTS FIRE MARSHALS OFFICEVA","VA1050200",0
"EASTERN STATE HOSPITAL-SECURITY","VA","EASTERN STATE HOSPITAL-SECURITYVA","VA1301000",0
"THOMAS NELSON COMM COLLEGE POLICE DEPARTMENT","VA","THOMAS NELSON COMM COLLEGE POLICE DEPARTMENTVA","VA0470300",0
"DMV DISTRICT LAW ENFORCEMENT OFF HARRISONBURG","VA","DMV DISTRICT LAW ENFORCEMENT OFF HARRISONBURGVA","VADMVHB00",0
"HARRISONBURG CITY FIRE MARSHALL","VA","HARRISONBURG CITY FIRE MARSHALLVA","VA1120100",0
"DEPARTMENT OF FORESTRY","VA","DEPARTMENT OF FORESTRYVA","VA0020400",0
"CENTRAL VIRGINIA COMMUNITY COLLEGE POLICE DEPARTMENT.","VA","CENTRAL VIRGINIA COMMUNITY COLLEGE POLICE DEPARTMENT.VA","-1",0
"DMV DISTRICT LAW ENFORCEMENT OFF LYNCHBURG","VA","DMV DISTRICT LAW ENFORCEMENT OFF LYNCHBURGVA","VADMVLB00",0
"LYNCHBURG FIRE MARSHALS OFFICE","VA","LYNCHBURG FIRE MARSHALS OFFICEVA","VA1140400",0
"SECURITY DEPARTMENT NAVAL STA OCEANA VIRGINIA BEACH","VA","SECURITY DEPARTMENT NAVAL STA OCEANA VIRGINIA BEACHVA","VA1280300",0
"NORTHERN VA COMM COLLEGE CAMPUS POLICE","VA","NORTHERN VA COMM COLLEGE CAMPUS POLICEVA","VA0751100",0
"FREDERICKSBURG CITY FIRE MARSHALS OFFICE","VA","FREDERICKSBURG CITY FIRE MARSHALS OFFICEVA","VA1090300",0
"DMV DISTRICT LAW ENFORCEMENT OFF ROANOKE","VA","DMV DISTRICT LAW ENFORCEMENT OFF ROANOKEVA","VADMVRN00",0
"CITY OF FAIRFAX OFFICE OF THE FIRE MARSHALL","VA","CITY OF FAIRFAX OFFICE OF THE FIRE MARSHALLVA","VA0290700",0
"FIRE INVESTIGATIVE UNIT FAIRFAX","VA","FIRE INVESTIGATIVE UNIT FAIRFAXVA","VA0290600",0
"CITY OF FAIRFAX OFFICE OF FIRE MARSHALL","VA","CITY OF FAIRFAX OFFICE OF FIRE MARSHALLVA","VA1340100",0
"DMV DISTRICT LAW ENFORCEMENT OFF FAIRFAX","VA","DMV DISTRICT LAW ENFORCEMENT OFF FAIRFAXVA","VADMVAR00",0
"FIRE MARSHALL ALEXANDRIA FIRE DEPARTMENT","VA","FIRE MARSHALL ALEXANDRIA FIRE DEPARTMENTVA","VA0990300",0
"METRO TRANSIT POLICE ALEXANDRIA","VA","METRO TRANSIT POLICE ALEXANDRIAVA","VAMTP0000",0
"NORTHERN VIRGINIA COMM COLLEGE POLICE DEPARTMENT","VA","NORTHERN VIRGINIA COMM COLLEGE POLICE DEPARTMENTVA","VA0990200",0
"MARTINSVILLE FIRE MARSHAL","VA","MARTINSVILLE FIRE MARSHALVA","VA1150200",0
"HAMPTON ROADS MED COLLEGE POLICE DEPARTMENT NORFOLK","VA","HAMPTON ROADS MED COLLEGE POLICE DEPARTMENT NORFOLKVA","VA1170600",0
"FIRE INVESTIGATIVE UNIT NEWPORT NEWS","VA","FIRE INVESTIGATIVE UNIT NEWPORT NEWSVA","VA1160500",0
"VIRGINIA MARINE RESOURCES COMMISSION","VA","VIRGINIA MARINE RESOURCES COMMISSIONVA","-1",0
"NORTHERN VA COMM COLLEGE MANASSAS CAMPUS POLICE","VA","NORTHERN VA COMM COLLEGE MANASSAS CAMPUS POLICEVA","VA0750900",0
"DEPARTMENT OF HEALTH PROFESSIONS INV DIV RICHMOND","VA","DEPARTMENT OF HEALTH PROFESSIONS INV DIV RICHMONDVA","VA0430500",0
"DEPARTMENT OF PROF & OCCUP REG INVESTIGATIONS","VA","DEPARTMENT OF PROF & OCCUP REG INVESTIGATIONSVA","VA0430400",0
"STATE FIRE MARSHALS OFF ARSON INV UNIT RICHMOND","VA","STATE FIRE MARSHALS OFF ARSON INV UNIT RICHMONDVA","VA0430200",0
"CENTRAL CRIMINAL RECORDS EXCHANGE RICHMOND","VA","CENTRAL CRIMINAL RECORDS EXCHANGE RICHMONDVA","VACCR0000",0
"DEP PROF & OCCUPATIONAL REG INVEST","VA","DEP PROF & OCCUPATIONAL REG INVESTVA","VA1220600",0
"DMV DISTRICT LAW ENFORCEMENT OFF RICHMOND","VA","DMV DISTRICT LAW ENFORCEMENT OFF RICHMONDVA","VADMVCH00",0
"DMV LAW ENFORCEMENT HEADQUARTERS RICHMOND","VA","DMV LAW ENFORCEMENT HEADQUARTERS RICHMONDVA","VADMVFX00",0
"ST CORP COMM MOTOR CARRIER DIV - ENF RICHMOND","VA","ST CORP COMM MOTOR CARRIER DIV - ENF RICHMONDVA","VA1220700",0
"VA MUSEUM FINE ARTS PROTECTIVE SERVICES FORCES","VA","VA MUSEUM FINE ARTS PROTECTIVE SERVICES FORCESVA","VA1220200",0
"VIRGINIA LOTTERY DEPARTMENT","VA","VIRGINIA LOTTERY DEPARTMENTVA","VA1220800",0
"VIRGINIA UNION UNIVERSITY POLICE DEPARTMENT.","VA","VIRGINIA UNION UNIVERSITY POLICE DEPARTMENT.VA","-1",0
"DMV DISTRICT LAW ENFORCEMENT OFF RICHMOND","VA","DMV DISTRICT LAW ENFORCEMENT OFF RICHMONDVA","VADMVHN00",0
"FORT PICKETT POLICE DEPARTMENT","VA","FORT PICKETT POLICE DEPARTMENTVA","VA0670400",0
"DMV DISTRICT LAW ENFORCEMENT OFF PORTSMOUTH","VA","DMV DISTRICT LAW ENFORCEMENT OFF PORTSMOUTHVA","VADMVNF00",0
"DULLES NATIONAL AIRPORT POLICE CHANTILLY","VA","DULLES NATIONAL AIRPORT POLICE CHANTILLYVA","VADUL0000",0
"NORTHERN VA COMM COLLEGE CAMPUS POLICE","VA","NORTHERN VA COMM COLLEGE CAMPUS POLICEVA","VA0530500",0
"PRNC WLLM CO DEPARTMENT FIRE/RESCUE FIRE MARSHAL OFF","VA","PRNC WLLM CO DEPARTMENT FIRE/RESCUE FIRE MARSHAL OFFVA","VA0750800",0
"LOUDOUN COUNTY FIRE MARSHAL'S OFFICE","VA","LOUDOUN COUNTY FIRE MARSHAL'S OFFICEVA","VA1220900",0
"LOUDOUN COUNTY FIRE MARSHALS OFFICE LEESBURG","VA","LOUDOUN COUNTY FIRE MARSHALS OFFICE LEESBURGVA","VA0530400",0
"NATL AIRPORT POLCE WASH","VA","NATL AIRPORT POLCE WASHVA","VAWNA0000",0
"NEWPORT NEWS/WILLIAMSBURG AIRPORT POLICE DEPARTMENT","VA","NEWPORT NEWS/WILLIAMSBURG AIRPORT POLICE DEPARTMENTVA","VA1160600",0
"STAFFORD CO DEPARTMENT RESCUE EMERG SERV INVEST DIV","VA","STAFFORD CO DEPARTMENT RESCUE EMERG SERV INVEST DIVVA","VA0890200",0
"CO DEPARTMENT FIRE RESCUE & EMER SVC ARSON INV UNIT","VA","CO DEPARTMENT FIRE RESCUE & EMER SVC ARSON INV UNITVA","VA0880200",0
"ALBEMARLE COUNTY FIRE MARSHAL","VA","ALBEMARLE COUNTY FIRE MARSHALVA","VA0020500",0
"HANOVER COUNTY FIRE MARHSALS OFFICE","VA","HANOVER COUNTY FIRE MARHSALS OFFICEVA","VA0420200",0
"ROANOKE COUNTY FIRE MARSHALS OFFICE","VA","ROANOKE COUNTY FIRE MARSHALS OFFICEVA","VA0800400",0
"ROANOKE REGIONAL AIRPORT POLICE","VA","ROANOKE REGIONAL AIRPORT POLICEVA","-1",0
"JAMES CITY COUNTY FIRE MARSHALS OFFICE","VA","JAMES CITY COUNTY FIRE MARSHALS OFFICEVA","VA0470200",0
"LYNCHBURG REGIONAL AIRPORT POLICE DEPARTMENT","VA","LYNCHBURG REGIONAL AIRPORT POLICE DEPARTMENTVA","VA1140200",0
"FIRE MARSHAL SHENANDOAH CO DEPARTMENT FIRE AND RESCUE","VA","FIRE MARSHAL SHENANDOAH CO DEPARTMENT FIRE AND RESCUEVA","VA0850600",0
"FREDERICK COUNTY FIRE MARSHALS OFFICE","VA","FREDERICK COUNTY FIRE MARSHALS OFFICEVA","VA0340300",0
"VT NATIONAL GUARD SECUR FORCES JOINT FORCES HQ","VT","VT NATIONAL GUARD SECUR FORCES JOINT FORCES HQVT","VT0041400",0
"CO FIRE MARSHAL'S OFF FIRE INVEST SEATTLE","WA","CO FIRE MARSHAL'S OFF FIRE INVEST SEATTLEWA","WA0173400",0
"KING COUNTY AIRPORT POLICE DEPARTMENT","WA","KING COUNTY AIRPORT POLICE DEPARTMENTWA","WA0173500",0
"SNOHOMISH CO FIRE INVESTIGATORS","WA","SNOHOMISH CO FIRE INVESTIGATORSWA","WA0312700",0
"CLARK COUNTY FIRE MARSHALS OFFICE","WA","CLARK COUNTY FIRE MARSHALS OFFICEWA","WA0061200",0
"S PRK/REC COMM GINGKO PARK REG III VANTAGE","WA","S PRK/REC COMM GINGKO PARK REG III VANTAGEWA","WA0190900",0
"S PK/REC COMM MOUNT SPOKANE PK REG IV MEAD","WA","S PK/REC COMM MOUNT SPOKANE PK REG IV MEADWA","WA0321000",0
"S PK/REC COMM BROOKS MEMORIAL PK GOLDENDALE","WA","S PK/REC COMM BROOKS MEMORIAL PK GOLDENDALEWA","WA0200800",0
"S PRK/REC COMM FORT CANBY PK REG I ILWACO","WA","S PRK/REC COMM FORT CANBY PK REG I ILWACOWA","WA0250500",0
