"Police Department","State","ORI","Data Entered?","Population","Use of Force Source Link","2013 Firearm Discharged at Person","2014 Firearm Discharged at Person","2015 Firearm Discharged at Person","2016 Firearm Discharged at Person","2017 Firearm Discharged at Person","2018 Firearm Discharged at Person","2019 Firearm Discharged at Person","2020 Firearm Discharged at Person","2021 Firearm Discharged at Person","2022 Firearm Discharged at Person","2013 Taser (also sometimes called Electronic Control Weapons or ECW)","2014 Taser (also sometimes called Electronic Control Weapons or ECW)","2015 Taser (also sometimes called Electronic Control Weapons or ECW)","2016 Taser (also sometimes called Electronic Control Weapons or ECW)","2017 Taser (also sometimes called Electronic Control Weapons or ECW)","2018 Taser (also sometimes called Electronic Control Weapons or ECW)","2019 Taser (also sometimes called Electronic Control Weapons or ECW)","2020 Taser (also sometimes called Electronic Control Weapons or ECW)","2021 Taser (also sometimes called Electronic Control Weapons or ECW)","2022 Taser (also sometimes called Electronic Control Weapons or ECW)","Are taser uses separated into two or more categories (for example, taser probes vs taser drive stuns)? (Put Yes or No)","2013 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2014 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2015 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2016 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2017 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2018 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2019 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2020 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2021 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2022 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","Categories counted in impact weapon tally","2013 Carotid Restraints (also sometimes called Carotid Control Holds)","2014 Carotid Restraints (also sometimes called Carotid Control Holds)","2015 Carotid Restraints (also sometimes called Carotid Control Holds)","2016 Carotid Restraints (also sometimes called Carotid Control Holds)","2017 Carotid Restraints (also sometimes called Carotid Control Holds)","2018 Carotid Restraints (also sometimes called Carotid Control Holds)","2019 Carotid Restraints (also sometimes called Carotid Control Holds)","2020 Carotid Restraints (also sometimes called Carotid Control Holds)","2021 Carotid Restraints (also sometimes called Carotid Control Holds)","2022 Carotid Restraints (also sometimes called Carotid Control Holds)","2013 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2014 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2015 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2016 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2017 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2018 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2019 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2020 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2021 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2022 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2013 K-9 deployments","2014 K-9 deployments","2015 K-9 deployments","2016 K-9 deployments","2017 K-9 deployments","2018 K-9 deployments","2019 K-9 deployments","2020 K-9 deployments","2021 K-9 deployments","2022 K-9 deployments","Total Use of Force Incidents 2013","Total Use of Force Incidents 2014","Total Use of Force Incidents 2015","Total Use of Force Incidents 2016","Total Use of Force Incidents 2017","Total Use of Force Incidents 2018","Total Use of Force Incidents 2019","Total Use of Force Incidents 2020","Total Use of Force Incidents 2021","Total Use of Force Incidents 2022","2013 Total ""Less Lethal Force""","2014 Total ""Less Lethal Force""","2015 Total ""Less Lethal Force""","2016 Total ""Less Lethal Force""","2017 Total ""Less Lethal Force""","2018 Total ""Less Lethal Force""","2019 Total ""Less Lethal Force""","Total_Less_lethal_force_2020","2021 Total ""Less Lethal Force""","2022 Total ""Less Lethal Force""","Individualized w/ officer names","Notes/Comments","Slack handle of person inputting the data","FINAL CHECK","Data checked?","Responses to factchecking","Response to response","Response to response to response","2021 Response","2021 Response to Response","Fact-Checked by","Use of Force Documentation (2013 LEMAS)","Officer or Incident Based Reporting (2013 LEMAS)","Force Types Required to be Reported (2013 LEMAS)","Total Use of Force Incidents 2012 (LEMAS)","Total Use of Force Reports 2012 (LEMAS)","Reportable Force Types (2016 LEMAS)","Reportable Force Types (Updated)","Use of Force Documentation Used (Updated)","Officer or Incident Based Reporting Used (DRAFT Revision)","Review Incident/Officer Based Reporting"
"Riverside County Sheriff","CA","CA0330000","Yes",1436865,"https://www.muckrock.com/foi/riverside-395/police-data-collection-request-2021-132526/ ; https://www.muckrock.com/foi/riverside-395/riverside-sheriff-total-use-of-force-incidents-2017-2020-147963/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,23,NA,"Expandable baton, riot baton, improvised weapon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,634,1384,NA,NA,NA,NA,NA,NA,NA,NA,NA,222,NA,"","LAW ENFORCEMENT AND CORRECTIONS INCIDENTS INCLUDED. The Riverside County Sheriff's Office did not track use of force reports prior to 2020, therefore, no records exist. This information includes corrections, but does not include deputy involved shootings or K9 bites.","","","","","","","",NA,"","Documented in arrest report","Incident/Officer","Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Other Chemical/Discharge Taser/Neck Restraints/Takedown/Open Hand/Closed Hand/Leg Restraints",NA,NA,"Open-Hand;Closed-Hand;Takedowns;Neck Restraints;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Explosives;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Explosives;Firearm Discharge","Documented in arrest report","Incident","Incident"
"Suffolk County Police Department","NY","NY0510100","Yes",1303112,"https://www.criminaljustice.ny.gov/crimnet/ojsa/Final%20Use%20of%20Force%20Frequency%20Tables%2011-17-2022.xlsx ; https://www.criminaljustice.ny.gov/crimnet/ojsa/Nov2020-Dec2021%20UOF%20Case%20Level%20File%20Final.xlsx",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,94,93,"No",NA,NA,NA,NA,NA,NA,NA,NA,10,13,"Impact Weapon",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,171,NA,NA,NA,NA,NA,NA,NA,NA,106,107,"INDIVIDUALIZED via state database","","samswey","","","","","","",NA,"","Use of force form","Incident/Officer","Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Other Chemical/Discharge Taser/Not Applicable (Neck Restraint)/Takedown/Open Hand/Closed Hand/Leg Restraints",580,1344,"Open-Hand;Closed-Hand;Takedowns;Neck Restraints;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display","Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Firearm Display;Firearm Discharge","Use of force form","Incident","Incident"
"Dallas Police Department","TX","TXDPD0000","Yes",1278608,"https://dallaspolice.net/reports/Pages/force-analysis-data.aspx ; https://dallaspolice.net/reports/Shared%20Documents/Use-of-Force-Report.pdf ; https://www.muckrock.com/foi/dallas-190/police-data-collection-dallas-2017-2020-111646/ ; https://www.accountablenow.com/map/TXDPD0000 ; https://dallaspolice.net/reports/Shared%20Documents/2016-Use-of-Force-Report.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186,152,176,210,267,290,251,272,299,313,"No",20,16,6,12,10,31,26,50,32,21,"40MM, Baton Strike, Other Impact Weapon, Projectile Weapon",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,209,121,59,62,53,57,53,92,114,93,NA,NA,NA,NA,26,33,19,32,25,14,2819,1968,1856,1666,1898,1774,2001,1985,2133,2272,415,289,241,284,356,411,349,446,470,442,"","total use of force incidents include display of weapon incidents, display incidents excluded from individual force type categories. UOF dashboard displays fewer reports than data provided in public records request, potentially due to differences in using officer/incident based counts. Incident-based counts used.","alliemonck, samswey 2021","Need chart","@MaryHammond - unable to verify data","cannot verify, individualized","","","",NA,"maryhammond","Use of force form","Incident/Other: taser, pepperball only until 2013","Display Firearm/Discharge Firearm/Baton/Not Applicable (Impact Weapon)/Bean Bag/OC Spray/Other Chemical/Discharge Taser/Neck Restraints/Takedown/Open Hand/Closed Hand/Not Applicable (Leg Restraints)",121,NA,"Open-Hand;Closed-Hand;Takedowns;Neck Restraints;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Discharge;K-9 Deployment","Use of force form","Incident","Incident"
"Miami-Dade County Police Department","FL","FL0130000","Yes",1186380,"https://www.muckrock.com/foi/miami-dade-county-7318/police-data-collection-request-2016-2021-138041/ ; https://www.muckrock.com/foi/miami-dade-county-7318/miami-dade-police-data-84452/#comms ; https://www.muckrock.com/foi/miami-dade-county-7318/2020-police-data-collection-miami-dade-police-department-109579/ ; additional data on use of force reports: https://www.arcgis.com/apps/dashboards/adc3fed2fc87492caceaf802880b7761",NA,NA,NA,33,30,25,16,19,28,NA,NA,NA,NA,159,145,109,90,53,91,NA,"Yes",NA,NA,NA,3,8,2,6,0,4,NA,"blunt instrument, expandable baton, flashlight",NA,NA,NA,10,10,5,17,5,0,NA,NA,NA,NA,3,0,2,0,4,0,NA,NA,NA,NA,10,5,5,5,2,2,NA,NA,NA,NA,NA,340,333,288,285,161,NA,NA,NA,NA,185,168,123,118,64,97,NA,"Individualized, lists officer names UOF","INDIVIDUALIZED data provided for some years, larger number of use of force ""reports"" reported in county's online data dashboard than annual reports","","","@MaryHammond - no data entered","","","","",NA,"@MaryHammond","Documented in arrest report","Incident","Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Other Chemical/Discharge Taser/Neck Restraints/",488,NA,"Open-Hand;Closed-Hand;Takedowns;Neck Restraints;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Discharge;K-9 Deployment","Documented in arrest report","Incident",""
"Fairfax County Police Department","VA","VA0290100","Yes",1112320,"https://www.fairfaxcounty.gov/police/chief/reports/iab",NA,NA,1,1,1,1,1,1,1,7,NA,NA,108,64,82,77,66,42,115,109,"No",NA,NA,13,14,14,29,11,13,5,3,"40 MM, Baton/Expandable Baton, Bean Bag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,21,21,24,21,6,12,23,NA,NA,25,19,10,10,16,14,2,9,NA,NA,NA,500,492,510,594,505,508,527,NA,NA,170,118,127,140,114,75,134,144,"","","samswey, alliemonck","","","","","","",NA,"@MaryHammond","Documented in arrest report","Incident","Display Firearm/Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Other Chemical/Display Taser/Discharge Taser/Neck Restraints/Takedown/Open Hand/Closed Hand/Leg Restraints",417,NA,"Open-Hand;Closed-Hand;Takedowns;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Explosives;Firearm Display;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Documented in arrest report","Incident","Incident"
"San Bernardino County Sheriff","CA","CA0360000","Yes",1084461,"https://www.muckrock.com/foi/san-bernardino-county-3060/sheriffs-use-of-forcecomplaints-data-san-bernardino-county-sheriff-74697/",NA,NA,NA,NA,12,31,NA,NA,NA,NA,NA,NA,NA,NA,368,299,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,88,116,NA,NA,NA,NA,"12 gauge bean bag shotgun, 40mm Foam, Baton, Flashlight, RCB Collapsible Baton, Sting Ball Grenade",NA,NA,NA,NA,9,23,NA,NA,NA,NA,NA,NA,NA,NA,151,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,864,937,1076,915,828,1091,NA,NA,NA,NA,NA,NA,NA,NA,616,739,NA,NA,NA,NA,"","Pepper ball + pepper spray + OC spray = chemical weapons; RCB collapsible baton + 40mm foam baton + 12 gauge bean bag shotgun +  sting ball grenade + flashlight = impact weapons; LVNR = carotid restraint; taser effective + taser ineffective and drive stun/probe deploy/direct contact = taser. Arc after deployment excluded.","","Good","@MaryHammond - unable to verify data, link to 2017 chart that has large difference in numbers; no link to 2018 info","discrepancies between muckrock data and what's in nationwide doc","","Good","",NA,"","Use of force form","Incident","Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Other Chemical/Display Taser/Discharge Taser/Neck Restraints/Closed Hand/",930,NA,"","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Discharge","Use of force form","Incident",""
"Nassau County Police Department","NY","NY0290000","Yes",1053945,"https://www.nassaucountyny.gov/DocumentCenter/View/36211/1-Year-Follow-Up-Report-FINAL?bidId=",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,26,59,"Yes",NA,NA,NA,NA,NA,NA,NA,1,1,2,"Baton",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,49,440,247,NA,NA,NA,NA,NA,NA,NA,2,42,65,"","Unspecified ""multiple"" category and weapons displays excluded. More force reported via public records request than NY state database. 159 total use of force incidents reported to state database, but 440 uses of force reported via agency data from public records request. Used data obtained directly from agency via public records request to avoid underreporting.","samswey","","","","","","",NA,"","Use of force form","Incident","Display Firearm/Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Other Chemical/Display Taser/Discharge Taser/Neck Restraints/Takedown/Open Hand/Closed Hand/Leg Restraints",NA,NA,"Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Montgomery County Police Department","MD","MD0160400","Yes",1036020,"https://www.montgomerycountymd.gov/pol/Resources/Files/annual-reports/UseOfForce/2019%20MCPD%20Use%20of%20Force%20Report_FINAL.PDF ; https://www.muckrock.com/foi/montgomery-county-338/police-data-collection-request-2021-128604/ ; https://www.montgomerycountymd.gov/pol/Resources/Files/Annual-Reports/UseOfForce/2022%20MCPD%20Use%20of%20Force%20Report%20FINAL_ED3_saf_dh_df_mj_03222023.pdf",NA,NA,NA,NA,3,3,2,4,2,0,NA,NA,NA,59,33,45,37,38,18,25,"No",NA,NA,NA,17,25,11,8,1,4,6,"Flashlight, ASP Baton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,26,14,28,13,6,9,NA,NA,NA,5,3,4,4,2,3,4,NA,NA,NA,523,523,542,553,474,593,NA,NA,NA,NA,112,87,74,77,54,31,44,"","Unable to compare 2022 onwards from prior overall UOF counts because two new reportable force types were implemented in 2022: Effective July 1, 2022, the intentional use of any physical effort(s) by law enforcement other than compliant handcuffing or unresisted escorting to control, restrain, or place an individual in custody replaced the previous use-of-force reason of ""anytime force is used to counteract a physical struggle...Pointing a Conducted Energy Weapon (CEW / Taser), a service weapon, or Oleoresin Capsicum (OC / Pepper) spray at an individual. (NEW: Effective February 1, 2022).","samswey","","@MaryHammond - didn't see source for total use of force numbers","","","","",NA,"mhammond","","","",NA,NA,"Open-Hand;Closed-Hand;Takedowns;Neck Restraints;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Firearm Discharge;K-9 Deployment","Use of force form","Incident","Incident-Based Counts: counting primary officer in each incident for officer breakdowns"
"San Jose Police Department","CA","CA0431300","Yes",1029542,"https://www.sjpd.org/records/crime-stats-maps/force-analysis-data ; https://www.muckrock.com/foi/san-jose-336/police-data-collection-request-2022-150362/",NA,NA,NA,NA,NA,3,NA,NA,2,3,NA,NA,152,120,133,115,93,97,58,81,"Yes",NA,NA,NA,130,110,149,108,286,61,78,"Blunt/Impact Weapon + Projectile Weapon",NA,NA,7,4,3,2,3,2,0,2,NA,NA,30,34,23,13,24,65,22,23,NA,NA,34,21,25,26,31,43,25,20,NA,NA,741,639,628,662,642,715,467,544,NA,NA,223,309,294,305,259,493,166,204,"","","samswey","Good","@MaryHammond - only able to verify 2018 info and total use of force info (changed to numbers on p. 6 of http://www.sjpd.org/crimestats/san_jose_summary_force_report_2018_12.pdf)","assuming percentage of all uses of force in this pdf was used to calculate the other numbers? http://www.sjpd.org/crimestats/san_jose_summary_force_report_2015-06-2018.pdf","@MaryHammond - tried to verify 2016-17 data by using percentages but numbers still didn't match. Only able to verify 2018 data.","updated based on chart","",NA,"@MaryHammond","Documented in arrest report","Officer","Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Not Applicable (Other Chemical)/Display Taser/Discharge Taser/Not Applicable (Neck Restraint)/Takedown/Open Hand/Closed Hand/Not Applicable (Leg Restraints)",NA,NA,"Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Documented in arrest report","Incident","Incident-Based Counts in officers using force chart"
"Hillsborough County Sheriff's Office","FL","FL0290000","Yes",1022128,"https://www.muckrock.com/foi/hillsborough-county-382/police-data-collection-request-2021-132529/ ; https://www.accountablenow.com/map/FL0290000",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"ASP/Impact Weapon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,NA,"","","samswey","","","","","","",NA,"","Use of force form","Incident","Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Other Chemical/Discharge Taser/Not Applicable (Neck Restraint)/Takedown/Open Hand/Closed Hand/Leg Restraints",446,NA,"Closed-Hand;Takedowns;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Explosives;Firearm Discharge","Closed-Hand;Takedowns;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Explosives;Firearm Discharge","Use of force form","Incident",""
"Honolulu Police Department","HI","HI0020000","Yes",966438,"https://www.muckrock.com/foi/honolulu-321/hawaii-police-data-collection-honolulu-police-department-116101/ ; https://www.civilbeat.org/2020/11/report-honolulu-police-use-of-force-increased-last-year/ ; 2021: https://www.muckrock.com/foi/honolulu-321/police-data-collection-request-2021-128606/ ; https://www.muckrock.com/foi/honolulu-321/police-data-collection-request-2016-2021-138043/ ; https://www.muckrock.com/foi/honolulu-321/police-data-collection-request-2022-150364/",4,0,3,1,3,16,9,4,6,2,9,4,6,18,26,25,18,42,43,23,"Yes",8,7,9,7,8,14,3,19,11,0,"Baton, Baton Jab, Less Lethal, Impact, Specialty weapon",15,6,3,11,8,10,11,6,0,0,90,89,82,47,70,73,55,42,27,29,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1460,1967,2070,2354,2423,2644,2648,122,106,100,83,112,122,87,109,81,52,"","2013-2020 use of force by force type","alliemonck;samswey","Good","@MaryHammond","","","","",NA,"maryhammond","Use of force form","Officer","Display Firearm/Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Other Chemical/Display Taser/Discharge Taser/Neck Restraints/Takedown/Open Hand/Closed Hand/Not Applicable (Leg Restraints)",NA,NA,"Open-Hand;Closed-Hand;Takedowns;Neck Restraints;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge","Use of force form","Officer","Officer"
"Charlotte-Mecklenburg Police Department","NC","NC0600100","Yes",958358,"https://www.charlottenc.gov/files/assets/police/documents/reports/ia_anlrpt2022.pdf ; https://charlottenc.gov/CMPD/Organization/Documents/OfcoftheChief/InternalAffairs/IA_anlrpt2018.pdf ; https://charlottenc.gov/newsroom/releases/Documents/CMPD_docs/CMPD_EOY_2021_FINAL_PRINT%20READY.pdf",NA,NA,NA,24,11,19,9,2,6,9,NA,NA,NA,50,40,49,54,52,40,28,"No",NA,NA,NA,7,2,2,5,1,3,4,"Impact",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,25,16,26,52,15,21,NA,NA,NA,36,33,21,33,25,17,15,NA,NA,NA,413,369,395,453,418,380,368,NA,NA,NA,114,100,88,118,130,75,68,"","no data for 2013-15","samswey, alliemonck","Good","@MaryHammond","","","","",NA,"maryhammond","Use of force form","Incident","Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Other Chemical/Discharge Taser/Not Applicable (Neck Restraint)/Leg Restraints",459,NA,"Open-Hand;Closed-Hand;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Discharge","Open-Hand;Closed-Hand;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Austin Police Department","TX","TX2270100","Yes",943059,"2021 UOF total: https://www.muckrock.com/foi/austin-139/data-collection-request-135818/ ; http://www.austintexas.gov/sites/default/files/files/Police/2017_response_to_resistance_report.pdf ; https://www.austintexas.gov/edims/document.cfm?id=379807 ; https://www.muckrock.com/foi/austin-139/police-data-collection-request-2021-128608/",NA,NA,10,13,10,10,9,1,8,NA,NA,NA,536,449,450,377,473,399,493,NA,"Yes",NA,NA,27,39,54,45,52,81,44,NA,"Impact Weapon, Impact Munition, Bean Bag Round, Rubber Round, Impact Weapon Baton, Impact Weapon Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263,193,176,134,131,61,224,NA,NA,NA,17,17,12,5,5,NA,5,NA,NA,NA,1888,1838,1962,2091,2864,3109,2371,NA,NA,NA,843,698,692,561,661,541,766,NA,"individualized UOF data, no officer names provided","no 2013-14/2018 data. Level 4 use of force level (low level force) added in 2019.","samswey, alliemonck","Good","@MaryHammond","","","","",NA,"","Documented in arrest report","Officer","Display Firearm/Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Not Applicable (Other Chemical)/Discharge Taser/Not Applicable (Neck Restraint)/Takedown/Open Hand/Closed Hand/Leg Restraints",NA,3220,"Open-Hand;Closed-Hand;Takedowns;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Documented in arrest report","Incident","review"
"San Diego County Sheriff","CA","CA0370000","Yes",922620,"https://www.sdsheriff.net/documents/2018%20Use%20of%20Force.pdf ; https://www.sdsheriff.gov/home/showpublisheddocument/1635/637499260406470000 ; https://www.sdsheriff.gov/home/showpublisheddocument/6427/638128446417170000",NA,NA,NA,9,11,5,1,2,3,4,NA,NA,NA,226,209,175,164,166,177,199,"No",NA,NA,NA,635,637,523,415,437,296,295,"Impact Weapons, Less Lethal Deployed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,50,33,34,22,20,20,NA,NA,NA,3694,3891,3934,3978,3454,3420,3482,NA,NA,NA,931,896,731,613,625,493,514,"","LAW ENFORCEMENT AND CORRECTIONS INCIDENTS INCLUDED. Impact weapons + less lethal deployed = impact weapons; no data for 2013-15. Includes data for the Law Enforcement Bureau, the Detention Services Bureau, and the Court Services Bureau. Use of force incident totals include firearm display, displays removed from force type totals.","alliemonck;samswey","Good","@MaryHammond - unable to verify data. My sort on the Excel spreadsheet came up with large disparity in numbers, also the data was only for Sept 2016 to Dec 2018","2016 and 2017 data in nationwide doc, cannot verify 2018 data","","Good","",NA,"@MaryHammond","Documented in arrest report","Officer","Display Firearm/Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Other Chemical/Display Taser/Discharge Taser/Neck Restraints/Takedown/Open Hand/Closed Hand/Leg Restraints",NA,2700,"Open-Hand;Closed-Hand;Takedowns;Neck Restraints;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Documented in arrest report","Officer","Officer"
